Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Supervised Pre-trained Model,49,89.33,0.7429157461961517,84.7,0.8581872
Supervised Pre-trained Model,50,89.308,0.7450091942496921,84.49,0.8582149
Supervised Randomly Initialized Model,1,33.632,1.9755315841616268,41.44,1.7050855
Supervised Randomly Initialized Model,2,47.504,1.628134162224772,54.83,1.5056145
Supervised Randomly Initialized Model,3,56.936,1.4397209647976223,60.22,1.3758148
Supervised Randomly Initialized Model,4,63.052,1.3175842057713463,65.33,1.2650105
Supervised Randomly Initialized Model,5,66.75,1.2378018243843332,68.8,1.1987334
Supervised Randomly Initialized Model,6,69.606,1.1779260001219143,71.13,1.1494586
Supervised Randomly Initialized Model,7,71.954,1.1298332420151558,72.36,1.144351
Supervised Randomly Initialized Model,8,73.854,1.0892654712242849,74.55,1.0779699
Supervised Randomly Initialized Model,9,75.606,1.053412974490534,74.51,1.092004
Supervised Randomly Initialized Model,10,76.412,1.0308397773586575,76.1,1.0421863
Supervised Randomly Initialized Model,11,80.824,0.9314410744420708,80.58,0.93213606
Supervised Randomly Initialized Model,12,82.344,0.8997630185788245,81.37,0.92320955
Supervised Randomly Initialized Model,13,82.884,0.8875561664476419,81.95,0.91551226
Supervised Randomly Initialized Model,14,83.172,0.8759842053093874,82.03,0.9089535
Supervised Randomly Initialized Model,15,83.676,0.8667173820078525,81.95,0.9064296
Supervised Randomly Initialized Model,16,84.304,0.8556631466616755,82.08,0.90311265
Supervised Randomly Initialized Model,17,84.444,0.8498693193925921,82.31,0.9059094
Supervised Randomly Initialized Model,18,84.896,0.8408467072964935,82.58,0.90012515
Supervised Randomly Initialized Model,19,85.144,0.8340464828874145,82.46,0.90001446
Supervised Randomly Initialized Model,20,85.506,0.8285735668733601,82.67,0.8891811
Supervised Randomly Initialized Model,21,86.262,0.8087642628823399,83.01,0.8846072
Supervised Randomly Initialized Model,22,86.546,0.8039426901151457,82.93,0.8843651
Supervised Randomly Initialized Model,23,86.614,0.8028694022342068,83.05,0.8844405
Supervised Randomly Initialized Model,24,86.658,0.8008518389728673,83.13,0.8840224
Supervised Randomly Initialized Model,25,86.572,0.8034838770356629,83.07,0.8824414
Supervised Randomly Initialized Model,26,86.974,0.7968089728404188,83.25,0.8826698
Supervised Randomly Initialized Model,27,87.03,0.794984964763417,83.17,0.8841022
Supervised Randomly Initialized Model,28,87.226,0.7916377770626332,83.19,0.8820945
Supervised Randomly Initialized Model,29,86.88,0.796119672867953,83.23,0.8815184
Supervised Randomly Initialized Model,30,87.156,0.7910976894676228,83.16,0.8827208
Supervised Randomly Initialized Model,31,87.252,0.7876322530114742,83.1,0.88419217
Supervised Randomly Initialized Model,32,87.294,0.7871231647098765,83.28,0.884549
Supervised Randomly Initialized Model,33,86.972,0.7924338469419943,83.36,0.8836121
Supervised Randomly Initialized Model,34,87.226,0.7896524358283529,83.33,0.8844703
Supervised Randomly Initialized Model,35,87.102,0.7913860815870183,83.16,0.88266045
Supervised Randomly Initialized Model,36,87.244,0.7911734257817573,83.32,0.88224405
Supervised Randomly Initialized Model,37,87.34,0.7878322093688008,83.4,0.8820259
Supervised Randomly Initialized Model,38,87.194,0.7897683203677692,83.28,0.8816453
Supervised Randomly Initialized Model,39,87.244,0.7881746225039977,83.32,0.8823069
Supervised Randomly Initialized Model,40,87.45,0.787486285047458,83.36,0.8825805
Supervised Randomly Initialized Model,41,87.262,0.7865916726839207,83.39,0.8823729
Supervised Randomly Initialized Model,42,87.146,0.7895852897478186,83.31,0.8827238
Supervised Randomly Initialized Model,43,87.08,0.7904115258275396,83.3,0.88403326
Supervised Randomly Initialized Model,44,87.16,0.7902542412128595,83.31,0.882406
Supervised Randomly Initialized Model,45,87.314,0.7876533981784225,83.26,0.8845662
Supervised Randomly Initialized Model,46,87.232,0.789054095287762,83.23,0.8831189
Supervised Randomly Initialized Model,47,87.34,0.788690929065275,83.36,0.8829126
Supervised Randomly Initialized Model,48,87.28,0.7869189713921998,83.42,0.8825224
Supervised Randomly Initialized Model,49,87.25,0.7908782835506722,83.37,0.883076
Supervised Randomly Initialized Model,50,87.362,0.786355088129068,83.42,0.88223773
