Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Supervised Pre-trained Model,34,88.468,0.7615570197324923,83.94,0.8682186
Supervised Pre-trained Model,35,88.35,0.7625943518355679,83.92,0.86792934
Supervised Pre-trained Model,36,88.45,0.7592090656385397,83.89,0.8686892
Supervised Pre-trained Model,37,88.24,0.7653921286163428,83.91,0.86772454
Supervised Pre-trained Model,38,88.492,0.760289136406101,83.89,0.86810845
Supervised Pre-trained Model,39,88.642,0.7607702824770642,84.05,0.86770105
Supervised Pre-trained Model,40,88.462,0.7605031981797474,83.93,0.86802924
Supervised Pre-trained Model,41,88.5,0.7600011753913997,83.84,0.86804366
Supervised Pre-trained Model,42,88.642,0.7607997535439708,84.0,0.86800873
Supervised Pre-trained Model,43,88.602,0.7613736023683377,84.02,0.8671199
Supervised Pre-trained Model,44,88.56,0.7613559165574095,83.93,0.8680618
Supervised Pre-trained Model,45,88.538,0.7626414385902912,84.0,0.86731845
Supervised Pre-trained Model,46,88.38,0.7628278433514373,83.84,0.8687732
Supervised Pre-trained Model,47,88.504,0.7609882641326436,83.86,0.86857855
Supervised Pre-trained Model,48,88.404,0.7606806401401529,83.92,0.86718625
Supervised Pre-trained Model,49,88.614,0.7610233127308623,84.01,0.86788005
Supervised Pre-trained Model,50,88.376,0.7644765950224893,83.97,0.8683565
Supervised Randomly Initialized Model,1,32.624,1.9890801369991449,44.95,1.671066
Supervised Randomly Initialized Model,2,46.94,1.6404285595545074,52.38,1.5502732
Supervised Randomly Initialized Model,3,57.11,1.4399065864665428,62.67,1.3399397
Supervised Randomly Initialized Model,4,62.536,1.3289925795991708,64.43,1.294809
Supervised Randomly Initialized Model,5,65.746,1.2600914322201857,68.33,1.2050325
Supervised Randomly Initialized Model,6,69.318,1.1840603145796929,71.19,1.1495308
Supervised Randomly Initialized Model,7,71.19,1.1425556066395985,71.85,1.1529843
Supervised Randomly Initialized Model,8,73.572,1.0972924477913801,72.62,1.1393437
Supervised Randomly Initialized Model,9,74.932,1.0700486229203852,74.04,1.1072909
Supervised Randomly Initialized Model,10,75.88,1.0440078109426572,76.41,1.0405507
Supervised Randomly Initialized Model,11,80.184,0.9449585596923633,80.06,0.9513249
Supervised Randomly Initialized Model,12,81.76,0.9137389545550432,80.63,0.94012475
Supervised Randomly Initialized Model,13,82.044,0.9017449920744542,80.71,0.93108076
Supervised Randomly Initialized Model,14,82.592,0.8925358038729109,81.23,0.92503726
Supervised Randomly Initialized Model,15,83.042,0.8788229007550212,80.84,0.9264702
Supervised Randomly Initialized Model,16,83.442,0.8745313279159234,81.33,0.920052
Supervised Randomly Initialized Model,17,83.768,0.8660191602414221,81.45,0.91901064
Supervised Randomly Initialized Model,18,84.074,0.8583795595961763,81.7,0.9155836
Supervised Randomly Initialized Model,19,84.368,0.8512026853573597,81.61,0.91489756
Supervised Randomly Initialized Model,20,84.668,0.8452229382436903,81.99,0.90753376
Supervised Randomly Initialized Model,21,85.618,0.8246346799004108,82.17,0.90406924
Supervised Randomly Initialized Model,22,85.728,0.8237623683631877,82.24,0.90140676
Supervised Randomly Initialized Model,23,85.712,0.8244796922749571,82.36,0.9011905
Supervised Randomly Initialized Model,24,85.826,0.8199946176060631,82.41,0.90180534
Supervised Randomly Initialized Model,25,86.002,0.8171559439595703,82.48,0.89997965
Supervised Randomly Initialized Model,26,86.114,0.8151640677086228,82.7,0.9002669
Supervised Randomly Initialized Model,27,86.206,0.8140424028077089,82.58,0.9010121
Supervised Randomly Initialized Model,28,86.176,0.8129056797308081,82.43,0.8998438
Supervised Randomly Initialized Model,29,86.208,0.8127412696933503,82.75,0.8987488
Supervised Randomly Initialized Model,30,86.14,0.8115024642871164,82.59,0.8993551
Supervised Randomly Initialized Model,31,86.308,0.8103170836977946,82.79,0.89878255
Supervised Randomly Initialized Model,32,86.196,0.809461359782597,82.52,0.9001842
Supervised Randomly Initialized Model,33,86.326,0.8115322362736362,82.66,0.8999148
Supervised Randomly Initialized Model,34,86.302,0.8106438331591809,82.6,0.898898
Supervised Randomly Initialized Model,35,86.322,0.8084288096184011,82.75,0.8993111
Supervised Randomly Initialized Model,36,86.246,0.80754627794256,82.66,0.8975692
Supervised Randomly Initialized Model,37,86.25,0.809998034821142,82.68,0.8986183
Supervised Randomly Initialized Model,38,86.366,0.8093150524836977,82.64,0.89985025
Supervised Randomly Initialized Model,39,86.258,0.8118517177793986,82.53,0.8988779
Supervised Randomly Initialized Model,40,86.222,0.8104769893924294,82.68,0.8996847
Supervised Randomly Initialized Model,41,86.406,0.8072331697129838,82.66,0.89926726
Supervised Randomly Initialized Model,42,86.406,0.8078234456384273,82.42,0.9008449
Supervised Randomly Initialized Model,43,86.412,0.8075236350374149,82.63,0.8969196
Supervised Randomly Initialized Model,44,86.408,0.8081797753148676,82.7,0.89986664
Supervised Randomly Initialized Model,45,86.488,0.8073870925342336,82.67,0.8994356
Supervised Randomly Initialized Model,46,86.176,0.8078478108281675,82.83,0.8971445
Supervised Randomly Initialized Model,47,86.35,0.8082430167576237,82.71,0.8989052
Supervised Randomly Initialized Model,48,86.73,0.8048383460935119,82.65,0.89878106
Supervised Randomly Initialized Model,49,86.186,0.8104386035438693,82.65,0.8986864
Supervised Randomly Initialized Model,50,86.55,0.8063108992698552,82.72,0.8997508
